objname,ra,dec,bjd,rv,rv_err,fwhm,span,maxcpp,contrast,lines,sn26
HD004614,11.5447281506442,57.5428492030496,2454104.29086861,8441.11728668213,0.455699,7696.83,,29805,32.8994,4708,301.411
HD004614,11.5447281506442,57.5428492030496,2455937.44773248,8422.892570495611,0.768785,9554.3,-6.83333,19378,26.576,4701,251.894
HD004614,11.5447281506442,57.5428492030496,2454518.28456104,8442.8825378418,0.413538,7748.1,-2.0,35064,32.8245,4707,339.659
HD004614,11.5447281506442,57.5428492030496,2456280.4145898,8491.5885925293,0.933477,7748.070000000001,-7.33333,7220,32.2563,4709,153.913
HD004614,11.5447281506442,57.5428492030496,2455936.36486229,8487.50400543213,0.8278190000000001,7736.21,-10.3333,9041,32.4662,4706,170.864
HD004614,11.5447281506442,57.5428492030496,2455936.31819861,8489.74895477295,0.784018,7732.25,0.5,10137,32.5842,4706,179.682
HD004614,11.5447281506442,57.5428492030496,2455937.34285499,8426.09310150146,0.769784,9552.720000000001,-4.83333,19615,26.7523,4701,251.257
HD004614,11.5447281506442,57.5428492030496,2455936.37825263,8483.97827148438,0.94168,7742.49,-6.666670000000001,7014,32.3234,4706,150.813
HD004614,11.5447281506442,57.5428492030496,2455936.46881396,8487.04433441162,1.00246,7735.839999999999,-5.33333,6099,32.2728,4706,141.274
HD004614,11.5447281506442,57.5428492030496,2454741.60066244,8472.2375869751,0.592569,7725.71,-2.16667,17084,32.598,4749,238.061
