objname,ra,dec,bjd,rv,rv_err,fwhm,span,maxcpp,contrast,lines,sn26
HD102870,177.032629363532,2.04281806823269,2454496.61900861,4511.7883682251,0.8649830000000001,8786.279999999999,33.833299999999994,8194,34.5087,4750,162.393
HD102870,177.032629363532,2.04281806823269,2454954.37944817,4494.05717849731,0.63009,8787.5,39.0,14767,35.0655,4685,218.786
HD102870,177.032629363532,2.04281806823269,2454960.41799227,4481.80103302002,0.33921599999999996,8802.189999999999,41.1667,48315,35.2895,4683,397.796
HD102870,177.032629363532,2.04281806823269,2454884.52288193,4506.02436065674,1.04288,8809.35,41.5,5698,34.491,4736,134.069
HD102870,177.032629363532,2.04281806823269,2454885.59090011,4509.61542129517,0.592942,8811.199999999999,46.1667,17009,35.0134,4735,233.134
HD102870,177.032629363532,2.04281806823269,2454882.5938633,4506.8454742431595,1.6184,8778.460000000001,50.8333,2824,34.1974,4737,91.0081
HD102870,177.032629363532,2.04281806823269,2454545.46120092,4494.24266815186,0.883587,8805.45,32.5,7735,34.7506,4716,162.171
HD102870,177.032629363532,2.04281806823269,2454941.48937589,4501.63316726685,0.503175,8783.62,41.0,22491,35.2045,4695,268.29
HD102870,177.032629363532,2.04281806823269,2454960.41427727,4495.41616439819,0.419419,8809.519999999999,34.333299999999994,31449,35.0254,4683,327.853
HD102870,177.032629363532,2.04281806823269,2454906.4862204,4522.52340316772,0.861835,8800.15,34.833299999999994,8285,34.6665,4717,162.619
HD102870,177.032629363532,2.04281806823269,2454950.36707648,4511.00921630859,0.96505,8761.98,38.1667,7336,32.6503,4685,148.992
HD102870,177.032629363532,2.04281806823269,2454543.5469898,4497.46227264404,0.721624,8827.34,37.3333,11216,34.7151,4716,201.425
HD102870,177.032629363532,2.04281806823269,2454913.47113043,4524.98912811279,0.766234,8812.8,,10658,34.3964,4601,181.197
HD102870,177.032629363532,2.04281806823269,2454941.48439929,4502.82335281372,0.432618,8793.98,38.1667,30161,35.2115,4695,312.929
HD102870,177.032629363532,2.04281806823269,2454911.5121368,4520.83253860474,0.454461,8818.289999999999,41.5,28466,35.0005,4716,306.007
HD102870,177.032629363532,2.04281806823269,2454164.56984851,4498.76260757446,0.358927,8779.9,,45007,35.4564,4722,378.834
HD102870,177.032629363532,2.04281806823269,2454540.50422513,4502.35223770142,1.04589,8795.730000000001,35.5,5732,34.7312,4717,136.903
HD102870,177.032629363532,2.04281806823269,2454463.70629162,4511.07883453369,1.07291,8842.029999999999,41.6667,5340,33.578,4763,142.087
HD102870,177.032629363532,2.04281806823269,2454549.5219633,4495.4719543456995,1.15486,8799.42,40.8333,4665,34.4269,4713,124.367
HD102870,177.032629363532,2.04281806823269,2454887.53306963,4510.0803375244095,0.5418419999999999,8799.300000000001,43.166700000000006,20234,35.0897,4733,254.882
HD102870,177.032629363532,2.04281806823269,2454925.43955554,4500.732421875,0.852881,8791.06,38.8333,8311,34.8227,4706,162.327
HD102870,177.032629363532,2.04281806823269,2454952.4210278,4493.59893798828,0.36539699999999997,8764.35,,42900,35.1814,4702,373.908
HD102870,177.032629363532,2.04281806823269,2454962.42264165,4495.44429779053,1.10944,8772.019999999999,38.5,4876,34.4471,4683,123.695
HD102870,177.032629363532,2.04281806823269,2454903.49049247,4509.11712646484,0.827777,8793.82,41.6667,8956,34.7288,4719,168.448
